id,customer_id,order_date
1,8,2023-08-23
2,100,2024-07-25
3,81,2023-04-29
4,56,2024-01-02
5,43,2023-07-19
6,3,2024-12-02
7,56,2024-04-19
8,44,2024-05-30
9,49,2023-07-16
10,21,2024-04-29
11,15,2023-05-23
12,67,2024-01-30
13,84,2024-03-23
14,66,2024-02-02
15,74,2024-11-14
16,4,2023-01-10
17,85,2024-08-05
18,1,2023-05-16
19,65,2024-05-10
20,5,2023-09-28
21,89,2023-08-28
22,89,2024-02-21
23,57,2023-06-03
24,1,2023-02-10
25,69,2023-09-09
26,60,2023-06-13
27,57,2024-07-08
28,36,2023-03-26
29,45,2023-10-11
30,42,2024-06-29
31,30,2024-12-19
32,27,2023-05-16
33,5,2024-01-09
34,47,2023-12-08
35,85,2023-12-05
36,28,2024-05-22
37,88,2024-03-02
38,13,2023-02-16
39,97,2023-08-11
40,91,2023-12-17
41,33,2024-11-28
42,98,2023-09-06
43,100,2023-04-22
44,29,2024-07-23
45,19,2023-06-05
46,92,2023-08-08
47,32,2023-10-01
48,13,2023-11-01
49,83,2024-05-24
50,30,2023-12-07
51,93,2023-02-12
52,75,2023-12-15
53,32,2023-04-13
54,67,2023-08-01
55,94,2024-12-03
56,92,2024-01-26
57,96,2024-08-26
58,27,2023-08-05
59,11,2024-06-17
60,63,2023-12-03
61,39,2024-12-02
62,24,2024-02-09
63,63,2024-03-12
64,100,2023-03-20
65,16,2023-12-28
66,13,2024-04-27
67,47,2024-07-03
68,98,2023-12-24
69,70,2023-10-23
70,73,2024-11-13
71,89,2024-02-22
72,44,2023-07-03
73,99,2023-01-14
74,7,2023-01-02
75,47,2024-09-09
76,15,2024-04-29
77,96,2024-11-06
78,92,2023-08-04
79,90,2023-12-24
80,30,2023-09-27
81,77,2023-04-18
82,9,2023-09-29
83,51,2024-03-13
84,90,2023-09-18
85,47,2024-11-02
86,2,2024-01-28
87,72,2024-05-30
88,15,2024-07-25
89,2,2024-02-16
90,85,2024-03-04
91,7,2023-11-30
92,100,2023-09-18
93,88,2023-01-31
94,81,2024-09-30
95,81,2023-10-10
96,83,2023-12-08
97,21,2024-02-15
98,43,2024-01-22
99,56,2023-01-29
100,36,2023-08-25
101,20,2023-11-30
102,65,2023-02-07
103,46,2023-05-25
104,11,2023-12-14
105,77,2024-11-26
106,66,2024-12-30
107,27,2024-06-07
108,13,2024-07-18
109,27,2023-04-03
110,2,2024-11-17
111,38,2024-10-03
112,79,2024-10-09
113,12,2024-10-21
114,93,2023-03-29
115,39,2024-11-17
116,78,2024-09-29
117,29,2024-06-06
118,61,2023-02-26
119,55,2024-02-28
120,3,2023-07-06
121,93,2023-10-22
122,7,2023-10-24
123,29,2024-10-29
124,17,2024-02-26
125,73,2023-03-28
126,81,2024-06-23
127,48,2023-05-02
128,40,2024-08-06
129,49,2023-08-02
130,25,2024-11-20
131,54,2024-06-01
132,53,2023-07-18
133,99,2024-08-15
134,84,2024-05-15
135,5,2023-07-29
